City,Lat,Lon,Temp(f),Humidity,Cloudiness,Wind Speed,Country
Ushuaia,-54.8,-68.3,44.6,81,40,9.17,AR
Tuatapere,-46.13,167.68,45.03,82,0,4.29,NZ
Norman Wells,65.28,-126.83,30.2,54,90,17.22,CA
Vaini,-21.2,-175.2,75.2,88,75,5.7,TO
Grand Gaube,-20.01,57.66,72.0,82,0,1.01,MU
Cherskiy,68.75,161.3,44.73,53,0,5.7,RU
Hermanus,-34.42,19.23,57.85,71,0,5.19,ZA
Tarko-Sale,64.92,77.78,45.0,92,100,6.42,RU
Kruisfontein,-34.0,24.73,49.44,85,0,3.09,ZA
Aurillac,44.92,2.45,57.0,62,81,2.24,FR
Port Alfred,-33.59,26.89,57.99,68,57,8.01,ZA
Hobart,-42.88,147.33,50.0,71,3,10.29,AU
Vila Franca do Campo,37.72,-25.43,62.6,93,75,8.05,PT
Aksarka,66.56,67.8,33.94,96,100,9.1,RU
Tanete,-3.94,119.78,77.11,90,4,4.54,ID
Khatanga,71.97,102.5,33.33,93,68,11.23,RU
Alofi,-19.06,-169.92,80.6,69,60,6.93,NU
Cabo San Lucas,22.89,-109.91,87.8,37,5,11.41,MX
Qaanaaq,77.48,-69.36,30.92,93,0,2.51,GL
Port Keats,-14.25,129.55,74.44,62,31,8.32,AU
Thompson,55.74,-97.86,57.2,28,40,10.29,CA
Kamiiso,41.82,140.65,53.78,83,92,2.35,JP
Palmer,42.16,-72.33,72.0,37,20,8.05,US
Faanui,-16.48,-151.75,81.7,76,33,8.39,PF
Yangi Marg`ilon,40.43,71.72,60.85,53,0,3.56,UZ
Tuktoyaktuk,69.45,-133.04,24.8,85,90,10.29,CA
Mataura,-46.19,168.86,40.46,81,0,1.9,NZ
Baruun-Urt,46.68,113.28,41.49,71,80,10.63,MN
Bethel,41.37,-73.41,73.99,37,1,9.17,US
Verāval,20.9,70.37,81.57,86,0,14.76,IN
Katobu,-4.94,122.53,77.13,92,6,4.18,ID
Lebu,-37.62,-73.65,58.98,93,97,7.16,CL
Chapais,49.78,-74.85,51.8,43,75,11.41,CA
Chhor,25.52,69.77,86.13,46,55,13.18,PK
Mountain Home,43.13,-115.69,68.0,20,75,17.22,US
Grindavik,63.84,-22.43,44.6,59,0,18.34,IS
Vestmannaeyjar,63.44,-20.27,44.04,64,0,9.04,IS
Debre Tabor,11.85,38.02,53.76,98,100,6.64,ET
Padang,-0.95,100.35,80.49,77,100,3.29,ID
Rikitea,-23.12,-134.97,77.16,85,100,13.24,PF
Isfahan,32.66,51.68,60.8,31,0,6.93,IR
Prachuap Khiri Khan,11.82,99.78,80.69,78,100,6.55,TH
Ngunguru,-35.62,174.5,55.99,91,83,8.01,NZ
Longyearbyen,78.22,15.64,30.79,86,45,3.67,SJ
Margate,51.38,1.39,54.0,75,95,4.0,GB
Atuona,-9.8,-139.03,80.98,78,2,14.65,PF
Bambanglipuro,-7.95,110.28,78.55,85,92,8.95,ID
Puerto Ayora,-0.74,-90.35,84.2,62,40,17.22,EC
Segezha,63.74,34.32,36.45,79,100,7.63,RU
Cape Town,-33.93,18.42,50.0,93,0,1.12,ZA
Husavik,66.04,-17.34,37.4,87,90,9.17,IS
De Aar,-30.65,24.01,50.27,44,6,1.7,ZA
Aklavik,68.22,-135.01,30.2,68,90,9.17,CA
Hithadhoo,-0.6,73.08,84.94,76,66,20.56,MV
Codrington,-38.27,141.97,42.67,81,0,7.07,AU
Avarua,-21.21,-159.78,80.6,69,40,10.29,CK
Beringovskiy,63.05,179.32,30.94,97,100,15.21,RU
Castro,-24.79,-50.01,56.1,61,0,2.77,BR
New Norfolk,-42.78,147.06,46.99,86,5,2.71,AU
Pevek,69.7,170.31,33.19,91,0,3.36,RU
Port Macquarie,-31.43,152.92,54.0,97,36,9.53,AU
Nikolskoye,59.7,30.79,41.0,80,40,6.71,RU
Hilo,19.73,-155.09,82.4,58,90,3.36,US
North Platte,41.12,-100.77,68.0,56,40,10.29,US
Mount Gambier,-37.83,140.77,35.6,93,0,4.7,AU
Lüchow,52.97,11.15,51.8,66,100,4.7,DE
Virginia Beach,36.85,-75.98,82.4,48,40,9.17,US
Jardim,-21.48,-56.14,65.89,54,0,1.63,BR
Patan,27.67,85.33,66.7,43,1,2.48,NP
Taoudenni,22.68,-3.98,84.69,14,0,9.44,ML
Hayden,47.77,-116.79,68.0,39,20,8.05,US
Rebrikha,53.07,82.34,60.03,65,9,5.3,RU
Tumpat,6.2,102.17,80.6,94,20,2.24,MY
Punta Arenas,-53.15,-70.92,42.8,93,75,6.93,CL
Dhidhdhoo,6.88,73.1,84.7,73,100,15.66,MV
Saskylakh,71.92,114.08,32.67,96,92,2.98,RU
Jinka,5.65,36.65,63.16,95,52,3.36,ET
Sechura,-5.56,-80.82,79.84,55,1,15.03,PE
Chāndur,19.73,79.18,90.77,33,28,2.19,IN
Shimoda,34.67,138.95,59.0,95,97,3.47,JP
Yaan,7.38,8.57,82.63,73,43,6.22,NG
Lavrentiya,65.58,-171.0,30.13,96,9,8.84,RU
Lüderitz,-26.65,15.16,66.2,52,0,2.24,
Tura,25.52,90.22,76.35,76,0,5.01,IN
Bredasdorp,-34.53,20.04,44.6,87,0,1.12,ZA
Saint Paul Harbor,57.79,-152.41,48.2,87,90,3.24,US
Muros,42.78,-9.06,62.01,72,0,1.99,ES
Tasiilaq,65.61,-37.64,39.2,60,17,11.41,GL
Kargasok,59.06,80.86,47.52,89,0,5.3,RU
Hauterive,46.09,3.45,57.2,58,56,3.36,FR
Saint-Joseph,-21.37,55.62,73.4,78,40,5.82,RE
Katsuura,35.13,140.3,64.4,93,75,5.82,JP
Natá,8.33,-80.52,87.01,40,100,8.34,PA
Upernavik,72.79,-56.15,31.24,97,6,12.57,GL
Kaitangata,-46.28,169.85,42.94,77,0,5.7,NZ
Bayanday,53.07,105.51,33.82,85,50,3.24,RU
Mahébourg,-20.41,57.7,71.6,83,20,6.71,MU
Guerrero Negro,27.98,-114.06,71.46,54,4,16.82,MX
Busselton,-33.65,115.33,53.01,55,100,7.07,AU
Puerto Carreño,6.19,-67.49,93.2,46,40,5.82,CO
Asău,46.43,26.4,48.99,80,49,1.86,RO
Albany,42.6,-73.97,75.99,39,41,4.63,US
Klaksvík,62.23,-6.59,37.4,86,100,23.04,FO
Butaritari,3.07,172.79,83.37,76,0,12.59,KI
Orlik,52.52,99.83,41.22,65,100,0.83,RU
Naryan-Mar,67.67,53.09,39.94,76,100,9.26,RU
Jamestown,42.1,-79.24,68.0,52,20,4.7,US
Severo-Kuril'sk,50.68,156.12,36.0,92,100,11.81,RU
Bambous Virieux,-20.34,57.76,72.0,83,20,7.4,MU
Ormara,25.21,64.64,81.66,82,0,14.85,PK
Kandrian,-6.22,149.55,79.95,86,57,8.23,PG
Esperance,-33.87,121.9,55.4,71,90,6.93,AU
Kiruna,67.86,20.23,32.0,99,94,6.93,SE
Avera,33.19,-82.53,86.0,42,40,9.17,US
Glendive,47.11,-104.71,68.0,40,40,9.17,US
Radford,37.13,-80.58,84.2,37,1,1.25,US
Gobabis,-22.45,18.97,60.53,32,0,11.27,
Kupang,-10.17,123.58,79.07,84,13,13.38,ID
Ancud,-41.87,-73.82,59.0,71,20,10.29,CL
Sharjah city,25.36,55.4,87.01,62,0,5.82,AE
Turukhansk,65.82,87.98,44.51,88,100,14.36,RU
Lodwar,3.12,35.6,86.94,45,0,17.58,KE
Bangil,-7.6,112.82,78.57,76,89,2.42,ID
Plettenberg Bay,-34.05,23.37,57.56,63,1,2.75,ZA
Ponta do Sol,32.67,-17.1,62.6,59,40,10.29,PT
Yellowknife,62.46,-114.35,33.8,55,75,12.75,CA
Latung,5.5,120.88,84.24,81,34,11.48,PH
Chui,-33.7,-53.46,65.91,64,0,12.88,UY
Eenhana,-17.47,16.33,62.6,45,0,3.36,
Dwārka,22.24,68.97,81.3,80,0,14.16,IN
Morón,-34.65,-58.62,77.0,43,0,1.01,AR
East London,-33.02,27.91,61.9,62,99,8.99,ZA
Kapaa,22.08,-159.32,79.0,78,40,11.41,US
Boyolangu,-8.12,111.89,76.89,90,55,3.53,ID
Province of Mantua,45.17,10.78,61.0,94,100,1.99,IT
Pisco,-13.7,-76.22,68.0,77,20,9.17,PE
Yar-Sale,66.83,70.83,33.8,97,100,4.99,RU
Hay River,60.82,-115.8,39.2,51,75,10.29,CA
Bilma,18.69,12.92,88.81,10,0,6.58,NE
Kiri Buru,22.08,85.35,79.27,52,1,2.48,IN
Yerbogachën,61.28,108.01,36.48,90,4,2.01,RU
Camopi,3.17,-52.32,77.13,95,100,4.14,GF
Srandakan,-7.94,110.25,78.6,85,94,8.77,ID
Faya,18.39,42.45,68.0,42,70,5.99,SA
Sitka,57.05,-135.33,59.0,58,40,14.99,US
Torbay,47.67,-52.73,39.99,89,75,5.82,CA
Doha,25.29,51.53,82.99,57,0,5.82,QA
Saint-Philippe,-21.36,55.77,73.4,78,40,5.82,RE
Makakilo City,21.35,-158.09,82.4,54,20,8.05,US
Pitimbu,-7.47,-34.81,78.8,94,75,5.19,BR
Provideniya,64.38,-173.3,43.43,58,94,7.72,RU
Dongsheng,39.82,109.98,44.22,60,96,14.79,CN
Fairbanks,64.84,-147.72,57.99,34,20,6.93,US
Aksaray,38.37,34.03,70.03,44,3,8.75,TR
Stephenville,32.22,-98.2,66.0,93,90,17.22,US
Walvis Bay,-22.96,14.51,60.8,77,0,3.36,
Sidi Ali,36.1,0.42,61.34,87,74,9.48,DZ
Mar del Plata,-38.0,-57.56,75.2,41,25,12.75,AR
Batagay-Alyta,67.8,130.41,33.89,91,93,1.54,RU
Alcantarilla,37.97,-1.22,64.99,73,100,5.61,ES
Bengkulu,-3.8,102.27,77.76,85,100,4.21,ID
Nyuksenitsa,60.41,44.24,37.26,85,24,4.72,RU
Salalah,17.02,54.09,84.2,89,20,4.7,OM
Khandyga,62.67,135.6,46.96,68,14,5.68,RU
Celestún,20.87,-90.4,89.53,55,0,11.16,MX
Matamoros,25.53,-103.25,95.0,9,5,2.26,MX
Barrow,71.29,-156.79,26.6,79,90,12.75,US
Whitehorse,60.72,-135.05,51.01,71,75,4.7,CA
Solnechnyy,50.72,136.63,37.2,83,99,9.62,RU
Thinadhoo,0.53,72.93,85.06,74,70,19.15,MV
Jequié,-13.86,-40.08,74.07,82,33,2.75,BR
Acireale,37.61,15.17,71.01,68,100,6.93,IT
Clyde River,70.47,-68.59,26.6,92,1,4.7,CA
Oyotún,-6.85,-79.3,82.83,51,34,8.25,PE
Arraial do Cabo,-22.97,-42.03,73.4,78,75,6.93,BR
Tabou,4.42,-7.35,81.54,83,100,6.55,CI
Bairiki Village,1.33,172.98,84.2,79,75,6.93,KI
Kumphawapi,17.11,103.01,85.35,56,100,1.43,TH
Davidson,36.15,-86.78,87.8,38,75,9.17,US
São Filipe,14.9,-24.5,73.09,77,32,10.42,CV
Jacksonville,30.33,-81.66,82.99,61,75,18.34,US
Half Moon Bay,37.46,-122.43,75.0,46,40,13.87,US
Tateyama,34.98,139.87,64.4,93,75,5.82,JP
Elizabethton,36.35,-82.21,84.2,42,1,8.05,US
Bathsheba,13.22,-59.52,86.0,66,40,23.04,BB
Hasaki,35.73,140.83,63.0,93,75,5.82,JP
Cockburn Town,21.46,-71.14,80.91,76,12,18.16,TC
Nouadhibou,20.93,-17.03,68.0,68,0,16.11,MR
Bluff,-46.6,168.33,47.19,89,53,9.84,NZ
Lluta,-16.01,-72.01,69.8,12,20,8.05,PE
Chokurdakh,70.63,147.92,23.67,97,0,7.78,RU
Fallon,39.47,-118.78,78.8,13,1,5.82,US
Dehlorān,32.69,47.27,90.18,13,0,5.44,IR
La Ronge,55.1,-105.28,64.4,25,75,3.36,CA
Yuxia,34.06,108.63,72.0,77,0,4.47,CN
Sol'-Iletsk,51.16,54.99,50.95,78,100,5.26,RU
São João da Barra,-21.64,-41.05,73.4,83,91,2.24,BR
The Valley,18.22,-63.06,84.2,58,75,12.75,AI
Ponta Delgada,37.73,-25.67,62.6,93,75,8.05,PT
Vanimo,-2.67,141.3,79.27,82,99,7.61,PG
Ylöjärvi,61.56,23.6,37.99,74,90,9.17,FI
Daru,-9.08,143.21,79.39,82,100,18.14,PG
Ostrovnoy,68.05,39.51,30.79,98,98,3.62,RU
Vilhena,-12.74,-60.15,80.6,61,75,5.82,BR
Lorengau,-2.02,147.27,83.07,79,0,7.76,PG
Lompoc,34.64,-120.46,71.6,49,1,17.22,US
Hong Kong,22.29,114.16,80.01,83,3,5.01,HK
Rocha,-34.48,-54.33,66.99,60,0,13.96,UY
Villa Carlos Paz,-31.42,-64.5,87.8,14,0,10.29,AR
Kavieng,-2.57,150.8,83.55,73,86,11.16,PG
Fare,-16.7,-151.02,82.0,77,38,8.61,PF
Karratha,-20.74,116.85,61.93,28,30,12.48,AU
Yamada,39.47,141.95,58.14,90,100,2.48,JP
Namatanai,-3.67,152.43,81.09,79,33,7.05,PG
Sioux Lookout,50.1,-91.92,59.0,47,75,0.94,CA
Dikson,73.51,80.55,31.51,96,100,9.71,RU
San Cristobal,7.77,-72.22,93.2,36,20,25.28,VE
Dafeng,23.45,108.59,76.35,80,36,1.81,CN
Cambridge,43.36,-80.31,68.0,48,20,5.82,CA
Vao,-22.67,167.48,72.77,73,100,13.73,NC
Quzhou,28.96,118.87,72.41,87,100,1.79,CN
Gizo Government Station,-8.1,156.84,82.96,77,4,6.22,SB
Caransebeş,45.42,22.22,61.11,62,93,3.53,RO
Adrar,20.5,-10.07,80.96,19,0,8.88,MR
Shūshtar,32.05,48.86,88.54,15,0,2.42,IR
Province of Groningen,53.25,6.75,50.0,81,100,3.36,NL
Kigoma,-4.88,29.63,71.6,94,20,4.36,TZ
Juneau,58.3,-134.42,60.8,51,40,12.75,US
Lincoln,40.8,-96.67,72.0,73,90,9.04,US
Río Gallegos,-51.62,-69.22,44.6,75,75,4.7,AR
Mabaruma,8.2,-59.78,82.22,73,98,7.27,GY
Burnie,-41.07,145.92,54.0,72,87,4.0,AU
Lata,40.16,-8.33,64.0,79,13,7.0,PT
Schwandorf,49.33,12.11,52.0,71,1,4.7,DE
Wau,7.7,28.0,79.32,72,17,1.81,SS
Werda,-25.27,23.28,64.27,27,0,4.61,BW
Pangnirtung,66.15,-65.71,37.08,80,75,2.3,CA
Riyadh,24.69,46.72,86.0,25,12,6.69,SA
Carnarvon,-24.87,113.63,68.5,25,20,9.37,AU
Mirador,-6.37,-44.36,78.8,73,12,2.08,BR
Wyndham,37.7,-77.61,84.99,45,90,3.36,US
Kjøllefjord,70.95,27.35,34.25,94,100,10.22,NO
Itupiranga,-5.13,-49.33,91.4,59,20,4.7,BR
Ouadda,8.08,22.4,69.98,88,100,1.79,CF
Qiyang,26.59,111.85,73.69,88,0,2.28,CN
Itaituba,-4.28,-55.98,80.6,88,40,0.85,BR
Port-Gentil,-0.72,8.78,82.4,88,40,8.05,GA
Port Hedland,-20.32,118.57,59.0,22,11,9.17,AU
Qasigiannguit,68.82,-51.19,30.2,92,0,4.7,GL
Mersing,2.43,103.84,78.8,94,47,4.7,MY
Tilichiki,60.47,166.1,31.6,98,45,5.1,RU
Jagüey Grande,22.53,-81.13,86.0,70,40,5.82,CU
Turan,16.07,108.22,80.6,88,20,2.24,VN
Porbandar,21.64,69.61,80.58,85,0,10.8,IN
Nyagan,62.14,65.39,46.44,54,79,4.09,RU
Ascension,30.22,-90.9,82.0,83,75,8.05,US
Alta Gracia,-31.65,-64.43,87.8,14,0,10.29,AR
Batticaloa,7.71,81.69,81.25,84,100,4.92,LK
Tiarei,-17.53,-149.33,86.0,74,75,10.29,PF
Tengzhou,35.08,117.15,64.96,67,0,3.2,CN
Bǝrdǝ,40.37,47.13,75.29,46,0,12.97,AZ
Arrondissement de Saint-Denis,48.92,2.33,57.99,58,3,8.05,FR
Acapulco de Juárez,16.86,-99.89,89.6,55,40,9.17,MX
Gigmoto,13.78,124.39,80.73,84,100,12.03,PH
Hualmay,-11.1,-77.61,69.55,70,9,9.26,PE
Cidreira,-30.18,-50.21,64.87,63,0,10.58,BR
Guigue,10.09,-67.78,88.5,47,82,5.1,VE
Fendou,46.65,124.87,59.25,67,25,9.19,CN
Port Lincoln,-34.73,135.87,55.15,59,0,5.57,AU
Assaré,-6.87,-39.88,74.35,81,60,3.06,BR
Kumul,42.8,93.45,76.68,27,93,16.87,CN
São Miguel do Araguaia,-13.28,-50.16,77.18,79,93,3.4,BR
Kenai,60.55,-151.26,53.6,57,1,16.11,US
Mtwango,-9.02,34.8,55.26,91,18,9.66,TZ
Stykkisholmur,65.08,-22.73,40.3,69,24,11.99,IS
Banyo,6.75,11.82,68.52,87,100,2.44,CM
Arman',59.7,150.17,41.45,74,55,5.73,RU
Ţahţā,26.77,31.5,89.6,29,75,10.29,EG
Williams Lake,52.14,-122.14,59.0,41,75,11.41,CA
Inhambane,-23.86,35.38,70.27,79,9,10.54,MZ
Varadero,23.15,-81.25,86.0,70,40,5.82,CU
Pokhara,28.23,83.98,72.7,37,0,7.7,NP
Constitución,-35.33,-72.42,63.75,70,3,15.01,CL
Lichuan,30.3,108.85,58.48,89,93,1.48,CN
Nenita,12.49,124.8,77.09,92,78,5.66,PH
Kondol',52.82,45.06,48.99,57,0,6.67,RU
Zabul Province,32.25,67.25,58.71,29,0,12.19,AF
Mindif,10.4,14.44,89.73,15,78,2.3,CM
Krasnosel'kup,65.7,82.47,46.35,95,100,3.15,RU
Jizan,17.33,42.67,89.6,75,49,5.82,SA
Vanavara,60.34,102.28,37.78,71,96,2.55,RU
Sisimiut,66.94,-53.67,44.89,59,0,18.99,GL
Olinda,-8.01,-34.86,78.8,88,75,3.36,BR
Huambo,-12.78,15.74,54.54,52,0,3.51,AO
Fort-Shevchenko,44.51,50.26,61.72,82,100,14.83,KZ
Dudinka,69.41,86.18,37.4,86,40,24.61,RU
Oyama,36.3,139.8,66.0,93,75,3.36,JP
Lakatoro,-16.1,167.42,78.8,78,90,3.36,VU
Camaná,-16.62,-72.71,67.24,68,52,4.79,PE
Shubarkuduk,49.14,56.49,53.11,65,57,5.53,KZ
Kangaatsiaq,68.31,-53.46,32.88,96,31,14.99,GL
Majene,-3.54,118.97,79.74,87,99,8.32,ID
Chulym,55.1,80.96,55.85,67,11,5.5,RU
Minden,52.28,8.92,57.2,50,90,9.17,DE
Hofn,64.25,-15.21,41.86,64,94,13.91,IS
Skorodnoye,51.07,37.23,50.0,61,2,6.71,RU
Xining,36.62,101.77,50.25,48,0,2.28,CN
Westerly,41.38,-71.83,71.01,46,75,9.17,US
Srednekolymsk,67.45,153.68,46.08,61,0,1.54,RU
El Salvador,13.83,-88.92,89.6,70,20,9.17,SV
Kikwit,-5.04,18.82,74.46,71,0,2.39,CD
Barrhead,55.8,-4.39,51.01,81,90,6.93,GB
Concepción,-36.83,-73.05,64.4,82,5,12.75,CL
Okhotsk,59.38,143.3,36.1,84,100,3.8,RU
Belmonte,-15.86,-38.88,77.0,83,75,4.7,BR
Tessalit,20.2,1.01,89.28,13,0,15.32,ML
Iraquara,-12.25,-41.62,78.8,74,52,3.36,BR
Horsham,51.06,-0.33,53.6,71,86,4.7,GB
Omboué,-1.57,9.26,79.88,89,100,4.59,GA
Newtownards,54.59,-5.69,52.0,81,100,6.93,GB
Alyangula,-13.85,136.42,73.4,94,22,15.28,AU
Haines Junction,60.75,-137.51,59.92,42,88,0.45,CA
Araouane,18.9,-3.53,91.13,12,0,9.84,ML
Cruzeiro do Sul,-29.51,-51.99,62.01,77,0,3.8,BR
Fortuna,40.6,-124.16,61.0,87,75,14.99,US
Broome,42.25,-75.83,68.0,48,20,10.29,US
